,RHS HF,Hot finished Rectangular Hollow Sections in accordance with EN 10210,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,UK Edition,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
0,,Designation,,Mass Per,Area,Ratios for,,Second Moment,,Radius of Gyration,,Elastic Modulus,,Plastic Modulus,,Torsional,,Surface,Approx
1,,Size,Thickness,metre,of,Local Buckling,,of Area,,Gyration,,Modulus,,Modulus,,Constants,,Area,Length
2,,,,,Section,Flange,Web,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,,,of,per
3,,D x B,t, ,A,b/t,d/t,Ix,Iy,rx,ry,Zx,Zy,Sx,Sy,J,C,Section,Tonne
4,Home,mm x mm,mm,kg/m,cm2, , ,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3,cm4,cm3,m2/m,m
96,92,250x150,5,30.4,38.7,27,47,3360,1527,9.31,6.28,269,204,324,228,3278,337,0.787,32.9
97,93,250x150,6,36.2,46.2,22,38.7,3965,1796,9.27,6.24,317,239,385,270,3877,396,0.785,27.6
98,94,250x150,6.3,38,48.4,20.8,36.7,4143,1874,9.25,6.22,331,250,402,283,4054,413,0.784,26.3
99,95,250x150,8,47.7,60.8,15.8,28.3,5111,2298,9.17,6.15,409,306,501,350,5021,506,0.779,21
100,96,250x150,10,58.8,74.9,12,22,6174,2755,9.08,6.06,494,367,611,426,6090,605,0.774,17
101,97,250x150,12,69.6,88.7,9.5,17.8,7154,3168,8.98,5.98,572,422,715,497,7088,695,0.769,14.4
102,98,250x150,12.5,72.3,92.1,9,17,7387,3265,8.96,5.96,591,435,740,514,7326,717,0.768,13.8
103,99,250x150,16,90.3,115,6.38,12.6,8879,3873,8.79,5.8,710,516,906,625,8868,849,0.759,11.1
104,100,300x200,5,38.3,48.7,37,57,6322,3396,11.4,8.35,421,340,501,380,6824,552,0.987,26.1
105,101,300x200,6,45.7,58.2,30.3,47,7486,4013,11.3,8.31,499,401,596,451,8100,651,0.985,21.9
106,102,300x200,6.3,47.9,61,28.7,44.6,7829,4193,11.3,8.29,522,419,624,472,8476,681,0.984,20.9
107,103,300x200,8,60.3,76.8,22,34.5,9717,5184,11.3,8.22,648,518,779,589,10560,840,0.979,16.6
108,104,300x200,10,74.5,94.9,17,27,11820,6278,11.2,8.13,788,628,956,721,12910,1015,0.974,13.4
109,105,300x200,12,88.5,113,13.7,22,13800,7294,11.1,8.05,920,729,1124,847,15140,1178,0.969,11.3
110,106,300x200,12.5,91.9,117,13,21,14270,7537,11,8.02,952,754,1165,877,15680,1217,0.968,10.9
111,107,300x200,16,115,147,9.5,15.8,17390,9109,10.9,7.87,1159,911,1441,1080,19250,1468,0.959,8.67
112,108,400x200,6,55.1,70.2,30.3,63.7,15000,5142,14.6,8.56,750,514,917,568,12050,877,1.18,18.2
113,109,400x200,6.3,57.8,73.6,28.7,60.5,15700,5376,14.6,8.55,785,538,960,594,12610,917,1.18,17.3
114,110,400x200,8,72.8,92.8,22,47,19560,6660,14.5,8.47,978,666,1203,743,15730,1135,1.18,13.7
115,111,400x200,10,90.2,115,17,37,23910,8084,14.4,8.39,1196,808,1480,911,19260,1376,1.17,11.1
116,112,400x200,12,107,137,13.7,30.3,28060,9418,14.3,8.3,1403,942,1748,1072,22620,1602,1.17,9.32
117,113,400x200,12.5,112,142,13,29,29060,9738,14.3,8.28,1453,974,1813,1111,23440,1656,1.17,8.97
118,114,400x200,16,141,179,9.5,22,35740,11820,14.1,8.13,1787,1182,2256,1374,28870,2010,1.16,7.12
119,115,450x250,8,85.4,109,28.3,53.3,30080,12140,16.6,10.6,1337,971,1622,1081,27080,1629,1.38,11.7
120,116,450x250,10,106,135,22,42,36890,14820,16.5,10.5,1640,1185,2000,1331,33280,1986,1.37,9.44
121,117,450x250,12,126,161,17.8,34.5,43430,17360,16.4,10.4,1930,1389,2367,1572,39260,2324,1.37,7.93
122,118,450x250,12.5,131,167,17,33,45030,17970,16.4,10.4,2001,1438,2458,1631,40720,2406,1.37,7.62
123,119,450x250,16,166,211,12.6,25.1,55710,22040,16.2,10.2,2476,1763,3070,2029,50550,2947,1.36,6.04
124,120,500x300,8,97.9,125,34.5,59.5,43730,19950,18.7,12.6,1749,1330,2100,1480,42560,2203,1.58,10.2
125,121,500x300,10,122,155,27,47,53760,24440,18.6,12.6,2150,1629,2595,1826,52450,2696,1.57,8.22
126,122,500x300,12,145,185,22,38.7,63450,28740,18.5,12.5,2538,1916,3077,2161,62040,3167,1.57,6.9
127,123,500x300,12.5,151,192,21,37,65810,29780,18.5,12.5,2633,1985,3196,2244,64390,3281,1.57,6.63
128,124,500x300,16,191,243,15.8,28.3,81780,36770,18.3,12.3,3271,2451,4005,2804,80330,4044,1.56,5.24
129,125,500x300+,20,235,300,12,22,98780,44080,18.2,12.1,3951,2939,4885,3408,97450,4842,1.55,4.25
